chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
D0	0.0	mmu-mir-669k-3p	6128	no	2°MEF	None	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669k-3p	6128	no	D11H	-1.96187644644	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669k-3p	6128	no	D16H	None	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669k-3p	6128	no	D16L	-1.83089287141	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669k-3p	6128	no	D18H	None	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669k-3p	6128	no	D2H	-4.00599517102	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669k-3p	6128	no	D21Ø	-3.02419961318	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669k-3p	6128	no	D21L	-1.6208554517	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669k-3p	6128	no	D5H	None	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669k-3p	6128	no	D8H	None	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669k-3p	6128	no	1⁰iPSC	-2.76237690211	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669k-3p	6128	no	2⁰iPSC	-3.21644707363	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669k-3p	6128	no	ESC	None	ESC	ESC	ESC	
D0	0.0	mmu-mir-467d-5p	6128	no	2°MEF	-0.587621051248	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-467d-5p	6128	no	D11H	2.66261441873	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-467d-5p	6128	no	D16H	2.72693944424	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-467d-5p	6128	no	D16L	0.777916371283	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-467d-5p	6128	no	D18H	-0.137362554691	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-467d-5p	6128	no	D2H	2.18382938729	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-467d-5p	6128	no	D21Ø	2.45961616362	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-467d-5p	6128	no	D21L	0.655984753501	D21L	Low Dox	Day 21	
