chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
5645810003_A	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.96975552405	152_CD14	NULL	NULL
5645810003_B	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.65361669649	129_CD14	NULL	NULL
5645810003_C	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.84817886813	164_CD14	NULL	NULL
5645810003_D	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.43478751462	141_CD14	NULL	NULL
5645810003_E	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.14651796785	176_CD14	NULL	NULL
5645810003_F	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.32808823627	153_CD14	NULL	NULL
5645810003_G	0.0	ILMN_1791759	6646	no	CD14 monocyte	10.064155391	188_CD14	NULL	NULL
5645810003_H	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.90258471303	165_CD14	NULL	NULL
5645810003_I	0.0	ILMN_1791759	6646	no	CD14 monocyte	6.73984575472	105_CD14	NULL	NULL
5645810003_J	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.19242554819	177_CD14	NULL	NULL
5645810003_K	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.63905563211	117_CD14	NULL	NULL
5645810003_L	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.31978037364	189_CD14	NULL	NULL
5645810031_A	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.38602159706	193_CD14	NULL	NULL
5645810031_B	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.55639116919	265_CD14	NULL	NULL
5645810031_C	0.0	ILMN_1791759	6646	no	CD14 monocyte	6.96709710067	205_CD14	NULL	NULL
5645810031_D	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.06941312587	277_CD14	NULL	NULL
5645810031_E	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.22020350003	217_CD14	NULL	NULL
5645810031_F	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.73705304484	194_CD14	NULL	NULL
5645810031_G	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.20378282838	229_CD14	NULL	NULL
5645810031_H	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.35428436451	206_CD14	NULL	NULL
5645810031_I	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.32267614644	241_CD14	NULL	NULL
5645810031_J	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.89399018363	218_CD14	NULL	NULL
5645810031_K	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.74238221558	253_CD14	NULL	NULL
5645810031_L	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.18985004166	230_CD14	NULL	NULL
5645810032_A	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.11746703246	242_CD14	NULL	NULL
5645810032_B	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.17345836964	219_CD14	NULL	NULL
5645810032_C	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.21942769256	254_CD14	NULL	NULL
5645810032_D	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.36074879114	231_CD14	NULL	NULL
5645810032_E	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.59236921026	266_CD14	NULL	NULL
5645810032_F	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.5745628216	243_CD14	NULL	NULL
5645810032_G	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.9073523008	278_CD14	NULL	NULL
5645810032_H	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.25187178555	255_CD14	NULL	NULL
5645810032_I	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.79945296556	195_CD14	NULL	NULL
5645810032_J	0.0	ILMN_1791759	6646	no	CD14 monocyte	10.3342459557	267_CD14	NULL	NULL
5645810032_K	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.19000562543	207_CD14	NULL	NULL
5645810032_L	0.0	ILMN_1791759	6646	no	CD14 monocyte	10.0999625906	279_CD14	NULL	NULL
5645810035_A	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.89776740225	196_CD14	NULL	NULL
5645810035_B	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.16540316606	268_CD14	NULL	NULL
5645810035_C	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.67477621192	208_CD14	NULL	NULL
5645810035_D	0.0	ILMN_1791759	6646	no	CD14 monocyte	6.44509962519	280_CD14	NULL	NULL
5645810035_E	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.85428071135	220_CD14	NULL	NULL
5645810035_F	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.82021803429	197_CD14	NULL	NULL
5645810035_G	0.0	ILMN_1791759	6646	no	CD14 monocyte	10.2917631616	232_CD14	NULL	NULL
5645810035_H	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.13236894619	209_CD14	NULL	NULL
5645810035_I	0.0	ILMN_1791759	6646	no	CD14 monocyte	10.0926533412	244_CD14	NULL	NULL
5645810035_J	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.95574506931	221_CD14	NULL	NULL
5645810035_K	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.31070506554	256_CD14	NULL	NULL
5645810035_L	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.93470437893	233_CD14	NULL	NULL
5645810046_A	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.73570431535	245_CD14	NULL	NULL
5645810046_B	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.59584277895	222_CD14	NULL	NULL
5645810046_C	0.0	ILMN_1791759	6646	no	CD14 monocyte	6.12892232125	257_CD14	NULL	NULL
5645810046_D	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.2934920203	234_CD14	NULL	NULL
5645810046_E	0.0	ILMN_1791759	6646	no	CD14 monocyte	10.3851154301	269_CD14	NULL	NULL
5645810046_F	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.34486256894	246_CD14	NULL	NULL
5645810046_G	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.63548804641	281_CD14	NULL	NULL
5645810046_H	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.61497649269	258_CD14	NULL	NULL
5645810046_I	0.0	ILMN_1791759	6646	no	CD14 monocyte	7.64565976573	198_CD14	NULL	NULL
5645810046_J	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.58610072825	270_CD14	NULL	NULL
5645810046_K	0.0	ILMN_1791759	6646	no	CD14 monocyte	6.90073134413	210_CD14	NULL	NULL
5645810046_L	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.15989852136	282_CD14	NULL	NULL
5645810051_A	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.31045280698	1_CD14	NULL	NULL
5645810051_B	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.69468326558	73_CD14	NULL	NULL
5645810051_C	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.47417092077	13_CD14	NULL	NULL
5645810051_D	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.77553401615	85_CD14	NULL	NULL
5645810051_E	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.41963496903	25_CD14	NULL	NULL
5645810051_F	0.0	ILMN_1791759	6646	no	CD14 monocyte	10.2946253006	2_CD14	NULL	NULL
5645810051_G	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.22049403747	37_CD14	NULL	NULL
5645810051_H	0.0	ILMN_1791759	6646	no	CD14 monocyte	10.7004470458	14_CD14	NULL	NULL
5645810051_I	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.86059659463	49_CD14	NULL	NULL
5645810051_J	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.00733853444	26_CD14	NULL	NULL
5645810051_K	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.81383742711	61_CD14	NULL	NULL
5645810051_L	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.73351988825	38_CD14	NULL	NULL
5645810059_A	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.11293793038	50_CD14	NULL	NULL
5645810059_B	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.28616632013	27_CD14	NULL	NULL
5645810059_C	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.13655506336	62_CD14	NULL	NULL
5645810059_D	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.26564511049	39_CD14	NULL	NULL
5645810059_E	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.52122906762	74_CD14	NULL	NULL
5645810059_F	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.04468383049	51_CD14	NULL	NULL
5645810059_G	0.0	ILMN_1791759	6646	no	CD14 monocyte	9.27518181722	86_CD14	NULL	NULL
5645810059_H	0.0	ILMN_1791759	6646	no	CD14 monocyte	8.46087937014	63_CD14	NULL	NULL
5645810059_I	0.0	ILMN_1791759	6646	no	CD14 monocyte	11.659884474	3_CD14	NULL	NULL
